Common Name,Scientific Name,Status,Group
"Langur, purple-faced",Presbytis senex,Threatened,Mammals
"Lechwe, red",Kobus leche,Threatened,Mammals
"Lemur, indri",Indri indri,Endangered,Mammals
Lemurs,"Lemuridae (incl. genera Lemur, Phaner, Hapalemur, Lepilemur, Microcebus, Allocebus, Cheirogaleus, Varecia)",Endangered,Mammals
Leopard,Panthera pardus,Threatened,Mammals
Leopard,Panthera pardus,Endangered,Mammals
"Leopard, clouded",Neofelis nebulosa,Endangered,Mammals
"Leopard, snow",Uncia (=Panthera) uncia,Endangered,Mammals
"Linsang, spotted",Prionodon pardicolor,Endangered,Mammals
Lion,Panthera leo ssp. leo,Endangered,Mammals
Lion,Panthera leo ssp. melanochaita,Threatened,Mammals
"Loris, lesser slow",Nycticebus pygmaeus,Threatened,Mammals
"Lynx, Canada",Lynx canadensis,Threatened,Mammals
"Lynx, Spanish",Felis pardina,Endangered,Mammals
"Macaque, Formosan rock",Macaca cyclopis,Threatened,Mammals
"Macaque, Japanese",Macaca fuscata,Threatened,Mammals
"Macaque, lion-tailed",Macaca silenus,Endangered,Mammals
"Macaque, stump-tailed",Macaca arctoides,Threatened,Mammals
"Macaque, toque",Macaca sinica,Threatened,Mammals
"Manatee, Amazonian",Trichechus inunguis,Endangered,Mammals
"Manatee, West African",Trichechus senegalensis,Threatened,Mammals
"Manatee, West Indian",Trichechus manatus,Threatened,Mammals
Mandrill,Mandrillus (=Papio) sphinx,Endangered,Mammals
"Mangabey, Tana river",Cercocebus galeritus galeritus,Endangered,Mammals
"Mangabey, white-collared",Cercocebus torquatus,Endangered,Mammals
Margay,Leopardus (=Felis) wiedii,Endangered,Mammals
"Markhor, Chiltan (=wild goat)",Capra falconeri (=aegragrus) chiltanensis,Endangered,Mammals
"Markhor, straight-horned",Capra falconeri megaceros,Threatened,Mammals
"Marmoset, buff-headed",Callithrix flaviceps,Endangered,Mammals
"Marmoset, Goeldi's",Callimico goeldii,Endangered,Mammals
"Marmoset, white-eared (=buffy tufted-ear)",Callithrix aurita (=jacchus a.),Endangered,Mammals
"Marmot, Vancouver Island",Marmota vancouverensis,Endangered,Mammals
"Marsupial, Eastern jerboa",Antechinomys laniger,Endangered,Mammals
"Marsupial-mouse, large desert",Sminthopsis psammophila,Endangered,Mammals
"Marsupial-mouse, long-tailed",Sminthopsis longicaudata,Endangered,Mammals
"Marten, Formosan yellow-throated",Martes flavigula chrysospila,Endangered,Mammals
"Marten, Pacific [Coastal DPS]",Martes caurina,Threatened,Mammals
"Monkey, black colobus",Colobus satanas,Endangered,Mammals
"Monkey, black howler",Alouatta pigra,Threatened,Mammals
"Monkey, Diana",Cercopithecus diana,Endangered,Mammals
"Monkey, Guizhou snub-nosed",Rhinopithecus brelichi,Endangered,Mammals
"Monkey, L'hoest's",Cercopithecus lhoesti,Endangered,Mammals
"Monkey, mantled howler",Alouatta palliata,Endangered,Mammals
"Monkey, Preuss' red colobus",Procolobus (=Colobus) preussi (=badius p.),Endangered,Mammals
"Monkey, proboscis",Nasalis larvatus,Endangered,Mammals
"Monkey, red-backed squirrel",Saimiri oerstedii,Endangered,Mammals
"Monkey, red-bellied",Cercopithecus erythrogaster,Endangered,Mammals
"Monkey, red-eared nose-spotted",Cercopithecus erythrotis,Endangered,Mammals
"Monkey, Sichuan snub-nosed",Rhinopithecus roxellana,Endangered,Mammals
"Monkey, spider",Ateles geoffroyi frontatus,Endangered,Mammals
"Monkey, spider",Ateles geoffroyi panamensis,Endangered,Mammals
"Monkey, Tana river red colobus",Procolobus (=Colobus) rufomitratus (=badius r.),Endangered,Mammals
"Monkey, Tonkin snub-nosed",Rhinopithecus avunculus,Endangered,Mammals
"Monkey, woolly spider",Brachyteles arachnoides,Endangered,Mammals
"Monkey, yellow-tailed woolly",Lagothrix flavicauda,Endangered,Mammals
"Monkey, Yunnan snub-nosed",Rhinopithecus bieti,Endangered,Mammals
"Monkey, Zanzibar red colobus",Procolobus (=Colobus) pennantii (=kirki) kirki,Endangered,Mammals
"Mouse, Alabama beach",Peromyscus polionotus ammobates,Endangered,Mammals
"Mouse, Anastasia Island beach",Peromyscus polionotus phasma,Endangered,Mammals
"Mouse, Australian native",Notomys aquilo,Endangered,Mammals
"Mouse, Australian native",Zyzomys pedunculatus,Endangered,Mammals
"Mouse, Choctawhatchee beach",Peromyscus polionotus allophrys,Endangered,Mammals
"Mouse, Field's",Pseudomys fieldi,Endangered,Mammals
"Mouse, Gould's",Pseudomys gouldii,Endangered,Mammals
"Mouse, Key Largo cotton",Peromyscus gossypinus allapaticola,Endangered,Mammals
"Mouse, New Holland",Pseudomys novaehollandiae,Endangered,Mammals
"Mouse, New Mexico meadow jumping",Zapus hudsonius luteus,Endangered,Mammals
"Mouse, Pacific pocket",Perognathus longimembris pacificus,Endangered,Mammals
"Mouse, Perdido Key beach",Peromyscus polionotus trissyllepsis,Endangered,Mammals
"Mouse, Preble's meadow jumping",Zapus hudsonius preblei,Threatened,Mammals
"Mouse, salt marsh harvest",Reithrodontomys raviventris,Endangered,Mammals
"Mouse, Shark Bay",Pseudomys praeconis,Endangered,Mammals
"Mouse, Shortridge's",Pseudomys shortridgei,Endangered,Mammals
"Mouse, Smoky",Pseudomys fumeus,Endangered,Mammals
"Mouse, southeastern beach",Peromyscus polionotus niveiventris,Threatened,Mammals
"Mouse, St. Andrew beach",Peromyscus polionotus peninsularis,Endangered,Mammals
"Mouse, western",Pseudomys occidentalis,Endangered,Mammals
"Muntjac, Fea's",Muntiacus feae,Endangered,Mammals
"Native-cat, eastern",Dasyurus viverrinus,Endangered,Mammals
Numbat,Myrmecobius fasciatus,Endangered,Mammals
Ocelot,Leopardus (=Felis) pardalis,Endangered,Mammals
Orangutan,Pongo pygmaeus,Endangered,Mammals
"Oryx, Arabian",Oryx leucoryx,Endangered,Mammals
